user_id,product_id
RANDQ,12239
YRUDA,16671
EYULW,05231
AHYKW,77126
GEOEX,45525
EQDJM,99196
EQHGJ,24308
NIWPY,85585
REPFN,79309
LUGMU,85099
WIXQT,06153
DOAYF,29387
BFPUS,63788
HDWTD,17902
TMSBP,08292
MXQYW,17968
CEIOW,72937
DHBAG,70998
GHEBJ,44004
CRIRQ,34570
WEXOV,79628
ZNLTR,70731
NTKSM,05223
JTGAV,73458
DGQKL,80609
KZROW,95050
LIESL,05383
VRLTN,55379
GUZRO,60939
TDRAL,61288
XRNPL,78706
EVBZV,73830
CNQBI,85141
YBIWG,52685
CIBFD,24694
UNEEI,21877
CIEZL,93486
JTQXW,19571
VCAPQ,99424
BLPFC,86625
YIWVX,57538
XKKWW,70503
RNIFD,13376
UCYFF,06144
FTNGE,52799
SGGWV,79170
ZAYIT,24850
PAMYC,38444
ITUNR,53307
IDRTC,64842
OVRYD,35719
KFCKF,55328
VFRQE,87300
DUVKI,01618
WUHIF,59399
IUUOQ,84484
OCYBO,59337
ECTIO,89332
DHCIM,46387
GMYGF,36893
XHOVT,42622
CBKUW,20763
YOKTZ,92861
AKAPU,48867
SBPMP,21516
CKWQV,57425
XULIJ,48344
CKBTO,87720
MKLMP,99200
MUIVT,93742
OIGWJ,81824
VQLUV,86881
DVUIC,20116
IOXDK,21367
QNEIL,52106
BYMZI,96793
KBOLO,17197
VQICD,83167
VOSCQ,05250
CWDWY,93825
DVHQB,70198
KVVGD,77713
DWMWD,54227
TADFL,58759
ECUMF,64712
WLZBZ,03680
PUBKG,16915
WDUNM,69188
TBPKZ,78092
HUPFH,38752
HBBVL,30006
JYWPI,71806
AQAYL,72916
UFBIY,28368
HHMUP,80838
KVQTY,78691
FBZAW,59544
SBDLF,53610
CJOEL,99811
NLEBX,84168
FGIYG,29901
OGERR,20456
QLCRO,29335
STDYC,51493
BVTYW,16851
INABT,05845
BDQZR,74398
ACSPJ,80749
ODCZY,02979
TPVWN,59082
ZGNLB,59766
KUGRN,84060
LKXIG,08590
XCJMV,97155
YTHXZ,48755
FMWGS,23188
TTSWI,37533
XVAKW,17461
PPYMK,64378
PDTPX,06949
NZSVT,45721
MOPJK,06289
JFNPM,62837
JAJUH,43932
HMCCJ,00084
YSSLB,57651
YDMQH,01580
AETTJ,81690
QESEL,69770
IWWQB,00673
DLYHE,59310
BJKZT,50323
UNCZY,47326
DGAQD,38604
SOPJC,14684
UFFAV,26625
RTURB,44963
NMLZE,98928
XSVVK,69830
CPXTX,84811
PIYHF,52566
BGZGH,66918
MYQER,30309
RGMRK,33878
HSNXX,74422
JCZTU,50612
ONCJT,39078
CAUMP,16210
KPECK,97663
HOXXH,92619
IBJAE,50145
PNCBI,22838
YLAQV,08636
JHUBQ,39516
UHBYK,70517
YQORC,79208
ECCTQ,01060
JWVES,82360
ZYRNA,27460
ZJJBS,93605
MRNHM,25816
XJKQE,73014
HYIHH,23548
HYPAH,21577
COQBM,70173
XXYJO,03071
KMPIQ,90610
VQYSJ,72968
WETRW,26419
XSTBB,25810
SYWBB,94082
QSGTF,64504
BVCIJ,64253
SBKBX,92830
PZBKZ,73642
WWUHL,53167
CACZD,31403
GLKYF,17184
OVBMY,54893
LAGBK,08005
TCUCP,34815
SXIJQ,75408
SAZVF,97543
IEKCS,95371
IHERF,18996
CLSDT,59977
JJJAA,14134
NVHSH,47025
HTUZK,43880
WCTZZ,74850
KSSQY,53170
PQSVR,79851
EBPPW,95031
UFEKE,27557
ZOMSH,38195
YQPCY,40536
EKKCK,59237
QRLLU,07123
LQFRW,21919
QVPCQ,67004
RGRHJ,69360
EAKIW,77555
UUQUU,84849
WLKYI,09210
TDIEY,34010
RESKN,75974
XMZOK,34887
AAKWQ,73251
