Unnamed: 0,datetime,temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,cloudcover,visibility,conditions,icon
0,2022-01-01 00:00:00,51.2,51.2,47.0,85.69,0.0,0,0.0,0.0,5.6,100.0,7.6,Overcast,cloudy
1,2022-01-01 01:00:00,51.2,51.2,47.0,85.69,0.0,0,0.0,0.0,1.9,100.0,7.2,Overcast,cloudy
2,2022-01-01 02:00:00,51.2,51.2,47.7,87.84,0.0,0,0.0,0.0,0.0,100.0,6.3,Overcast,cloudy
3,2022-01-01 03:00:00,51.2,51.2,47.0,85.69,0.0,0,0.0,0.0,5.0,100.0,8.2,Overcast,cloudy
4,2022-01-01 04:00:00,50.2,50.2,47.8,91.36,0.0,0,0.0,0.0,5.3,100.0,7.1,Overcast,cloudy
5,2022-01-01 05:00:00,50.0,50.0,47.9,92.62,0.0,0,0.0,0.0,1.6,100.0,4.7,Overcast,cloudy
6,2022-01-01 06:00:00,51.2,51.2,48.6,90.85,0.0,0,0.0,0.0,5.3,100.0,2.9,Overcast,cloudy
7,2022-01-01 07:00:00,51.2,51.2,48.8,91.67,0.004,100,0.0,0.0,1.6,100.0,5.0,"Rain, Overcast",rain
8,2022-01-01 08:00:00,50.3,50.3,48.6,93.82,0.035,100,0.0,0.0,5.8,100.0,2.2,"Rain, Overcast",rain
9,2022-01-01 09:00:00,52.1,52.1,49.7,91.52,0.037,100,0.0,0.0,6.2,100.0,6.3,"Rain, Overcast",rain
10,2022-01-01 10:00:00,53.1,53.1,50.9,92.14,0.014,100,0.0,0.0,5.8,100.0,5.9,"Rain, Overcast",rain
11,2022-01-01 11:00:00,54.0,54.0,51.8,92.43,0.009,100,0.0,0.0,5.4,100.0,6.1,"Rain, Overcast",rain
12,2022-01-01 12:00:00,54.3,54.3,51.8,91.39,0.004,100,0.0,0.0,6.6,100.0,6.3,"Rain, Overcast",rain
13,2022-01-01 13:00:00,54.5,54.5,52.8,93.91,0.017,100,0.0,0.0,5.0,100.0,6.3,"Rain, Overcast",rain
14,2022-01-01 14:00:00,54.5,54.5,53.3,95.68,0.0,0,0.0,0.0,0.0,100.0,5.0,Overcast,cloudy
15,2022-01-01 15:00:00,55.6,55.6,52.8,90.27,0.0,0,0.0,0.0,1.3,98.9,7.7,Overcast,cloudy
16,2022-01-01 16:00:00,56.3,56.3,53.5,90.3,0.0,0,0.0,0.0,1.9,100.0,7.7,Overcast,cloudy
17,2022-01-01 17:00:00,56.0,56.0,52.8,88.91,0.0,0,0.0,0.0,0.9,100.0,8.6,Overcast,cloudy
18,2022-01-01 18:00:00,54.3,54.3,52.6,93.9,0.018,100,0.0,0.0,1.3,100.0,5.4,"Rain, Overcast",rain
19,2022-01-01 19:00:00,53.7,53.7,52.2,94.7,0.046,100,0.0,0.0,2.5,100.0,3.6,"Rain, Overcast",rain
20,2022-01-01 20:00:00,52.8,52.8,51.2,94.26,0.057,100,0.0,0.0,5.0,100.0,2.2,"Rain, Overcast",rain
21,2022-01-01 21:00:00,52.6,52.6,51.0,94.26,0.056,100,0.0,0.0,4.6,100.0,2.0,"Rain, Overcast",rain
22,2022-01-01 22:00:00,52.8,52.8,51.5,95.35,0.147,100,0.0,0.0,8.1,100.0,2.2,"Rain, Overcast",rain
23,2022-01-01 23:00:00,52.6,52.6,51.2,95.1,0.283,100,0.0,0.0,6.2,100.0,2.8,"Rain, Overcast",rain
24,2022-01-02 00:00:00,51.5,51.5,50.3,95.62,0.052,100,0.0,0.0,8.6,100.0,5.2,"Rain, Overcast",rain
25,2022-01-02 01:00:00,51.5,51.5,50.3,95.62,0.02,100,0.0,0.0,8.1,100.0,4.7,"Rain, Overcast",rain
26,2022-01-02 02:00:00,51.2,51.2,50.1,95.86,0.0,0,0.0,0.0,2.5,100.0,3.8,Overcast,cloudy
27,2022-01-02 03:00:00,51.5,51.5,50.1,94.77,0.0,0,0.0,0.0,6.2,100.0,5.3,Overcast,cloudy
28,2022-01-02 04:00:00,52.1,52.1,50.9,95.61,0.0,0,0.0,0.0,1.9,100.0,5.9,Overcast,cloudy
29,2022-01-02 05:00:00,52.3,52.3,51.2,95.78,0.0,0,0.0,0.0,1.4,100.0,3.0,Overcast,cloudy
30,2022-01-02 06:00:00,51.8,51.8,50.3,94.51,0.02,100,0.0,0.0,1.9,100.0,3.9,"Rain, Overcast",rain
31,2022-01-02 07:00:00,52.2,52.2,50.9,95.02,0.0,0,0.0,0.0,4.0,100.0,2.7,Overcast,cloudy
32,2022-01-02 08:00:00,52.1,52.1,50.9,95.61,0.0,0,0.0,0.0,0.0,100.0,5.9,Overcast,cloudy
33,2022-01-02 09:00:00,53.3,53.3,51.8,94.68,0.0,0,0.0,0.0,1.9,100.0,5.9,Overcast,cloudy
34,2022-01-02 10:00:00,54.0,54.0,52.0,92.9,0.0,0,0.0,0.0,7.2,100.0,6.9,Overcast,cloudy
35,2022-01-02 11:00:00,54.0,54.0,51.8,92.43,0.0,0,0.0,0.0,9.2,100.0,6.3,Overcast,cloudy
36,2022-01-02 12:00:00,55.1,55.1,51.8,88.62,0.0,0,0.0,0.0,9.5,100.0,8.2,Overcast,cloudy
37,2022-01-02 13:00:00,57.2,57.2,51.8,82.31,0.0,0,0.0,0.0,10.1,90.7,9.4,Overcast,cloudy
38,2022-01-02 14:00:00,58.5,58.5,50.9,75.81,0.0,0,0.0,0.0,9.5,97.0,9.9,Overcast,cloudy
39,2022-01-02 15:00:00,54.8,54.8,47.7,76.83,0.0,0,0.0,0.0,8.5,88.8,9.9,Partially cloudy,partly-cloudy-day
40,2022-01-02 16:00:00,52.6,52.6,46.2,79.0,0.0,0,0.0,0.0,1.9,88.8,9.9,Partially cloudy,partly-cloudy-day
41,2022-01-02 17:00:00,51.2,51.2,43.8,75.83,0.0,0,0.0,0.0,9.6,100.0,9.9,Overcast,cloudy
42,2022-01-02 18:00:00,48.8,44.2,38.5,67.69,0.0,0,0.0,0.0,11.0,97.0,9.9,Overcast,cloudy
43,2022-01-02 19:00:00,46.4,41.3,35.3,65.18,0.0,0,0.0,0.0,10.6,100.0,9.9,Overcast,cloudy
44,2022-01-02 20:00:00,40.5,32.7,29.5,64.72,0.0,0,0.0,0.0,14.2,23.8,9.9,Partially cloudy,partly-cloudy-night
45,2022-01-02 21:00:00,38.5,32.3,28.4,66.64,0.0,0,0.0,0.0,8.9,23.8,9.9,Partially cloudy,partly-cloudy-night
46,2022-01-02 22:00:00,38.5,33.0,28.1,65.98,0.0,0,0.0,0.0,7.7,88.8,9.9,Partially cloudy,partly-cloudy-night
47,2022-01-02 23:00:00,38.5,34.3,27.8,65.0,0.0,0,0.0,0.0,5.5,97.0,9.9,Overcast,cloudy
48,2022-01-03 00:00:00,37.9,31.8,26.9,64.28,0.0,0,0.0,0.0,8.4,43.6,9.9,Partially cloudy,partly-cloudy-night
49,2022-01-03 01:00:00,37.6,31.3,25.6,61.52,0.0,0,0.0,0.0,8.7,43.6,9.9,Partially cloudy,partly-cloudy-night
50,2022-01-03 02:00:00,36.5,31.3,25.3,63.57,0.0,0,0.0,0.0,6.5,88.8,9.9,Partially cloudy,partly-cloudy-night
51,2022-01-03 03:00:00,36.3,28.4,24.2,61.13,0.0,0,0.0,0.0,11.4,97.0,9.9,Overcast,cloudy
52,2022-01-03 04:00:00,34.3,24.4,21.3,58.65,0.0,0,0.0,0.0,15.6,97.0,9.9,Overcast,cloudy
53,2022-01-03 05:00:00,33.4,26.7,20.4,58.59,0.0,0,0.0,0.0,7.8,97.0,9.9,Overcast,cloudy
54,2022-01-03 06:00:00,32.5,23.7,20.4,60.66,0.0,0,0.0,0.0,11.4,91.8,9.9,Overcast,cloudy
55,2022-01-03 07:00:00,31.5,21.0,19.4,60.53,0.0,0,0.0,0.0,14.7,26.7,9.9,Partially cloudy,partly-cloudy-night
